match_id,team_id,team_name,player_id,player_name,hero,kills,deaths,assists,net_worth,last_hits,denies,gpm,xpm
991,9073373,Fear The Hog,32846586,Dr Clayton,Pudge,2,0,0,4569,58,16,387,603
991,null,Eat Booty O's,74713349,Vriggchan,Pudge,0,2,0,2613,34,5,219,422
,,,,,,,,,,,,,
992,null,Tiny Corn Energy,20413194,.4leks...,Pudge,2,0,0,2830,33,16,387,550
992,9432594,Isiah From The News,71794697,Z.T. Pastamancer,Pudge,0,2,0,1769,22,8,218,354
,,,,,,,,,,,,,
993,null,Team Pr1de,42336030,Pr1de,Pudge,1,2,0,2259,27,12,329,400
993,9658549,Nebraska Cornhuskers,208895278,businessCasual,Pudge,2,1,0,2421,20,3,336,494
,,,,,,,,,,,,,
994,null,Elliott Jewelers,12096575,Bojangles,Pudge,2,1,0,2999,34,6,418,571
994,9432594,Isiah From The News,71794697,Z.T. Pastamancer,Pudge,1,2,0,2451,31,7,353,426
,,,,,,,,,,,,,
995,9824963,Team Mavi,237313649,Mavi,Pudge,2,0,0,1602,8,2,407,542
995,9073373,Fear The Hog,32846586,Dr Clayton,Pudge,0,2,0,1110,8,4,201,365
,,,,,,,,,,,,,
996,null,Tiny Corn Energy,20413194,.4leks...,Pudge,0,2,0,2145,27,12,263,423
996,9824963,Team Mavi,237313649,Mavi,Pudge,2,0,0,2682,33,8,394,514
,,,,,,,,,,,,,
997,null,Elliott Jewelers,12096575,Bojangles,Pudge,2,0,0,2499,38,9,425,591
997,9658549,Nebraska Cornhuskers,208895278,businessCasual,Pudge,0,2,0,1499,21,3,217,327
,,,,,,,,,,,,,
998,null,Elliott Jewelers,12096575,Bojangles,Pudge,1,2,0,1379,16,7,355,417
998,9824963,Team Mavi,237313649,Mavi,Pudge,2,1,0,1679,14,5,394,495
,,,,,,,,,,,,,
999,9824963,Team Mavi,237313649,Mavi,Pudge,0,2,0,1120,12,1,219,355
999,null,Elliott Jewelers,12096575,Bojangles,Pudge,2,0,0,1798,18,5,431,536
,,,,,,,,,,,,,
910,null,Elliott Jewelers,12096575,Bojangles,Pudge,2,1,0,1790,17,5,360,464
910,9824963,Team Mavi,237313649,Mavi,Pudge,1,2,0,1432,11,2,270,460
