steam_id,staff_name,role,twitch_channel_url,youtube_channel_url,linktree_url
144699082,Crasheroni,Caster,https://www.twitch.tv/crasheroni,null,null
202993487,HumbleKorean,Caster,null,null,null
101375328,Plate,Caster,null,null,null
237313649,Mavi,Producer,https://www.twitch.tv/the_corn_field,https://www.youtube.com/@TheCornField_,https://linktr.ee/TheCornField
