steam_id,staff_name,role,twitch_channel_url,youtube_channel_url,linktree_url
315105501,Chinese Takeout,Caster,null,null,null
27284686,Bone Nut,Caster,null,null,null
31649623,Moumpt,Caster,null,null,null
39058303,Chhampion,Caster,null,null,null
85522662,FancyPants,Caster,null,null,null
237313649,Mavi,Producer,https://www.twitch.tv/the_corn_field,https://www.youtube.com/@TheCornField_,https://linktr.ee/TheCornField
