steam_id,player_name,team_id,team_name
32846586,Dr Clayton,9239524,Staff Infection
176598507,Stainless,9239524,Staff Infection
57751419,RAMPAGE,9239524,Staff Infection
162920467,EsKetIt!!,9239524,Staff Infection
208895278,businessCasual,9239524,Staff Infection
31649623,Moumpt,9239524,Staff Infection
,,,
66953342,A_dam,9239539,Eat A Frosted Donut
20720988,W.Stallion,9239539,Eat A Frosted Donut
102620357,C Squad,9239539,Eat A Frosted Donut
10240989,partylobster,9239539,Eat A Frosted Donut
56950757,Life_Insurance,9239539,Eat A Frosted Donut
,,,
83172949,Cloud Kicker,9400971,Mutha Shuckas
192347173,Ms Anthrope,9400971,Mutha Shuckas
52899534,Roctopus,9400971,Mutha Shuckas
145749278,Replayz,9400971,Mutha Shuckas
83741745,7,9400971,Mutha Shuckas
,,,
70081477,Board Man Gets Paid,null,CA$HFLOW
121916760,Kiragos,null,CA$HFLOW
59311372,Holiday,null,CA$HFLOW
12096575,Bojangles,null,CA$HFLOW
83605406,Drink water and stretch,null,CA$HFLOW
71794697,Z.T. Pastamancer,null,CA$HFLOW
