team_id,team_name,team_tag,team_captain_id,team_captain,team_coach_id,team_coach_name
9239524,Staff Infection,S.I.,32846586,Dr Clayton,null,null
,,,,,,
9400971,Mutha Shuckas,SHUCK,52899534,Roctopus,null,null
,,,,,,
null,CA$HFLOW,CA$H,83605406,Drink water and stretch,null,null
,,,,,,
9239539,Eat A Frosted Donut,EAFD,20720988,W.Stallion,null,null
