steam_id,player_name,team_id,team_name
32846586,Dr Clayton,9397114,Anti-Mage Enjoyers
12096575,Bojangles,9397114,Anti-Mage Enjoyers
208895278,businessCasual,9397114,Anti-Mage Enjoyers
144699082,Crasheroni,9397114,Anti-Mage Enjoyers
121916760,Kiragos,9397114,Anti-Mage Enjoyers
,,,
50743887,H[U](NGry?),9400971,Mutha Shuckas
71794697,Z.T. Pastamancer,9400971,Mutha Shuckas
176598507,Stainless,9400971,Mutha Shuckas
192347173,Ms Anthrope,9400971,Mutha Shuckas
52899534,Roctopus,9400971,Mutha Shuckas
