steam_id,player_name,team_id,team_name
70081477,Board Man Gets Paid,3212656,Big Dick LaNm
124479422,Derk,3212656,Big Dick LaNm
12096575,Bojangles,3212656,Big Dick LaNm
121916760,Kiragos,3212656,Big Dick LaNm
63826936,Sarah,3212656,Big Dick LaNm
,,,
52899534,Roctopus,9400971,Mutha Shuckas
39058303,Chhampion,9400971,Mutha Shuckas
192347173,Ms Anthrope,9400971,Mutha Shuckas
145749278,Replayz,9400971,Mutha Shuckas
85522662,FancyPants,9400971,Mutha Shuckas
,,,
20720988,W.Stallion,8476119,CaramellRoshan
102620357,C Squad,8476119,CaramellRoshan
208895278,businessCasual,8476119,CaramellRoshan
31649623,Moumpt,8476119,CaramellRoshan
32846586,Dr Clayton,8476119,CaramellRoshan
