series_id,match_id,game_mode,radiant_team_id,radiant_team_name,radiant_team_score,dire_team_id,dire_team_name,dire_team_score,match_length,match_time,match_date,winning_team_id,winning_team_name
991,991,captains_mode,9400971,Mutha Shuckas,32,3212656,Big Dick LaNm,31,2454,null,10/06/2023,3212656,Big Dick LaNm
,,,,,,,,,,,,,
992,7369357917,captains_mode,9400971,Mutha Shuckas,22,8476119,CaramellRoshan,35,2096,9:34 PM,10/06/2023,8476119,CaramellRoshan
,,,,,,,,,,,,,
993,7369392996,captains_mode,3212656,Big Dick LaNm,37,8476119,CaramellRoshan,51,2848,10:30 PM,10/06/2023,8476119,CaramellRoshan
