match_id,team_id,team_name,player_id,player_name,hero,kills,deaths,assists,net_worth,last_hits,denies,gpm,xpm
7616284261,9359693,Foop City,103117334,Shaquille Oatmeal,Witch Doctor,7,9,25,15026,107,2,405,519
7616284261,9359693,Foop City,122928435,SHADOW MOSES,Windranger,21,3,17,27711,306,13,677,942
7616284261,9359693,Foop City,83729704,Sir Snick of the Wheel,Snapfire,5,2,22,13242,66,8,330,457
7616284261,9359693,Foop City,108977424,Sneetch,Phantom Lancer,5,3,19,26933,420,8,613,783
,,,,,,,,,,,,,
7616356796,9358342,CORN DAWGS,83741745,7,Lion,5,6,24,12924,32,2,346,641
7616356796,9358342,CORN DAWGS,83172949,Cloud Kicker,Outworld Destroyer,19,6,14,24950,254,16,610,849
7616356796,9358342,CORN DAWGS,52899534,Roctopus,Jakiro,4,3,27,16800,178,0,424,649
7616356796,9358342,CORN DAWGS,57751419,RAMPAGE,Earthshaker,6,5,18,21094,250,11,499,609
7616356796,9358342,CORN DAWGS,12096575,Bojangles,Bloodseeker,13,7,10,24623,433,12,681,779
7616356796,9359693,Foop City,83605406,Drink Water and Stretch,Razor,11,10,11,15455,194,14,472,569
7616356796,9359693,Foop City,122928435,SHADOW MOSES,Ember Spirit,2,7,21,19538,227,2,469,629
7616356796,9359693,Foop City,83729704,Sir Snick of the Wheel,Grimstroke,4,10,19,9837,24,0,289,500
7616356796,9359693,Foop City,103117334,Shaquille Oatmeal,Vengeful Spirit,5,13,11,9988,41,5,293,423
7616356796,9359693,Foop City,108977424,Sneetch,Wraith King,5,7,6,19083,358,3,535,628
,,,,,,,,,,,,,
7616421657,9358342,CORN DAWGS,12096575,Bojangles,Bloodseeker,15,10,10,27378,405,8,686,857
7616421657,9358342,CORN DAWGS,83741745,7,Disruptor,4,8,23,11760,39,2,267,492
7616421657,9358342,CORN DAWGS,83172949,Cloud Kicker,Queen Of Pain,4,8,15,18880,290,16,445,620
7616421657,9358342,CORN DAWGS,57751419,RAMPAGE,Night Stalker,8,9,11,19132,252,9,448,608
7616421657,9358342,CORN DAWGS,52899534,Roctopus,Grimstroke,2,6,18,11330,79,2,303,454
7616421657,9359693,Foop City,122928435,SHADOW MOSES,Razor,12,6,22,24947,248,9,559,756
7616421657,9359693,Foop City,103117334,Shaquille Oatmeal,Lion,2,11,21,14782,33,1,318,435
7616421657,9359693,Foop City,83729704,Sir Snick of the Wheel,Vengeful Spirit,3,7,19,12826,18,3,280,483
7616421657,9359693,Foop City,83605406,Drink Water and Stretch,Centaur Warrunner,7,6,22,23619,277,12,510,788
7616421657,9359693,Foop City,108977424,Sneetch,Troll Warlord,14,4,11,38932,485,9,825,1106
,,,,,,,,,,,,,
7616499517,9358342,CORN DAWGS,83741745,7,Techies,2,8,14,10699,87,0,278,308
7616499517,9358342,CORN DAWGS,83172949,Cloud Kicker,Zeus,6,5,8,20795,292,2,449,481
7616499517,9358342,CORN DAWGS,57751419,RAMPAGE,Dragon Knight,5,9,2,17543,286,3,426,473
7616499517,9358342,CORN DAWGS,52899534,Roctopus,Vengeful Spirit,2,15,7,8247,54,9,223,340
7616499517,9358342,CORN DAWGS,12096575,Bojangles,Weaver,8,10,6,22506,352,14,502,550
7616499517,9359693,Foop City,83605406,Drink Water and Stretch,Centaur Warrunner,4,6,30,24861,256,12,488,717
7616499517,9359693,Foop City,103117334,Shaquille Oatmeal,Witch Doctor,4,8,26,12786,54,6,296,495
7616499517,9359693,Foop City,122928435,SHADOW MOSES,Void Spirit,18,1,19,30320,317,14,645,862
7616499517,9359693,Foop City,83729704,Sir Snick of the Wheel,Lion,7,8,13,21612,17,4,329,443
7616499517,9359693,Foop City,108977424,Sneetch,Juggernaut,14,1,15,38471,477,14,767,958
