steam_id,player_name,team_id,team_name
31649623,Moumpt,8970463,Pizzadog Academy
104775701,Sparkling Animated Storytelling,8970463,Pizzadog Academy
365711597,Ripped The Pen 1 Last Time,8970463,Pizzadog Academy
1036468280,The Real Is Back,8970463,Pizzadog Academy
74713349,Vriggchan,8970463,Pizzadog Academy
,,,
12299062,GoblinDeez,9352752,Malibu DILFs
45349321,Skwisgaar Skwigelf,9352752,Malibu DILFs
32889544,Cream Abdul Jabroni,9352752,Malibu DILFs
51245777,Lars,9352752,Malibu DILFs
16865447,Nathan Explosion,9352752,Malibu DILFs
,,,
1724857,Kenny Lavender,6521153,Korn in my Poop
315105501,Chinese Takeout,6521153,Korn in my Poop
176598507,Stainless,6521153,Korn in my Poop
56950757,Life_Insurance,6521153,Korn in my Poop
27284686,Bone Nut,6521153,Korn in my Poop
,,,
32846586,Dr Clayton,9073373,Fear The Hog
208895278,businessCasual,9073373,Fear The Hog
192347173,Ms Anthrope,9073373,Fear The Hog
71794697,Z.T. Pastamancer,9073373,Fear The Hog
121916760,Kiragos,9073373,Fear The Hog
,,,
57751419,RAMPAGE,9358342,CORN DAWGS
83172949,Cloud Kicker,9358342,CORN DAWGS
83741745,7,9358342,CORN DAWGS
12096575,Bojangles,9358342,CORN DAWGS
52899534,Roctopus,9358342,CORN DAWGS
,,,
83605406,Drink Water and Stretch,9359693,Foop City
103117334,Shaquille Oatmeal,9359693,Foop City
122928435,SHADOW MOSES,9359693,Foop City
83729704,Sir Snick of the Wheel,9359693,Foop City
108977424,Sneetch,9359693,Foop City
