steam_id,staff_name,role,twitch_channel_url,youtube_channel_url,linktree_url
144699082,Crasheroni,Caster,https://www.twitch.tv/crasheroni,null,null
permasnooze,Permasneeze,Caster,https://www.twitch.tv/permasneeze,https://www.youtube.com/@permasneeze,https://linktr.ee/permasneeze
39058303,Chhampion,Caster,null,null,null
85522662,FancyPants,Caster,null,null,null
145749278,Replayz,Caster,null,null,null
237313649,Mavi,Producer,https://www.twitch.tv/the_corn_field,https://www.youtube.com/@TheCornField_,https://linktr.ee/TheCornField
