match_id,team_id,team_name,player_id,player_name,hero,kills,deaths,assists,net_worth,last_hits,denies,gpm,xpm
8133845732,9658546,Cornhub,237313649,Mavi,Rubick,6,11,14,14136,192,6,421,483
8133845732,9658546,Cornhub,31649623,Moumpt,Abaddon,2,7,14,7029,11,0,245,340
8133845732,9658546,Cornhub,32846586,Dr Clayton,Jakiro,2,8,11,9964,61,6,272,395
8133845732,9658546,Cornhub,59311372,Holiday,Dragon Knight,11,7,5,19117,250,25,517,511
8133845732,9658546,Cornhub,20413194,.4leks...,Chaos Knight,6,7,13,15535,260,16,473,609
8133845732,9658549,Nebraska Cornhuskers,452702024,CGarty,Queen Of Pain,18,2,16,26044,275,4,686,884
8133845732,9658549,Nebraska Cornhuskers,312108807,Maple Biggs,Medusa,10,5,14,21714,228,1,564,705
8133845732,9658549,Nebraska Cornhuskers,63826936,Sarah,Tidehunter,4,6,31,18692,185,2,500,734
8133845732,9658549,Nebraska Cornhuskers,208895278,businessCasual,Pudge,5,9,16,10852,39,2,314,431
8133845732,9658549,Nebraska Cornhuskers,71794697,Z.T. Pastamancer,Hoodwink,2,5,30,14964,78,3,407,656
,,,,,,,,,,,,,
8133883434,9658549,Nebraska Cornhuskers,452702024,CGarty,Monkey King,5,6,15,20496,353,27,569,713
8133883434,9658549,Nebraska Cornhuskers,312108807,Maple Biggs,Snapfire,8,6,8,14324,220,4,450,509
8133883434,9658549,Nebraska Cornhuskers,63826936,Sarah,Axe,7,11,11,14985,235,7,426,510
8133883434,9658549,Nebraska Cornhuskers,208895278,businessCasual,Hoodwink,7,7,15,10666,122,6,339,501
8133883434,9658549,Nebraska Cornhuskers,71794697,Z.T. Pastamancer,Phoenix,3,10,20,9927,72,1,292,438
8133883434,9658546,Cornhub,237313649,Mavi,Pudge,10,11,19,22058,212,1,598,753
8133883434,9658546,Cornhub,31649623,Moumpt,Lich,4,4,21,13004,46,0,372,554
8133883434,9658546,Cornhub,32846586,Dr Clayton,Venomancer,4,9,23,14910,53,3,355,385
8133883434,9658546,Cornhub,59311372,Holiday,Earthshaker,12,6,14,23064,226,23,602,829
8133883434,9658546,Cornhub,20413194,.4leks...,Lifestealer,6,1,23,26454,316,12,684,948
,,,,,,,,,,,,,
8133925596,9658546,Cornhub,237313649,Mavi,Invoker,4,18,10,13594,204,2,359,444
8133925596,9658546,Cornhub,31649623,Moumpt,Tinker,1,14,9,10519,82,2,259,386
8133925596,9658546,Cornhub,32846586,Dr Clayton,Clinkz,3,10,11,17441,263,10,424,640
8133925596,9658546,Cornhub,59311372,Holiday,Centaur Warrunner,5,7,12,17125,238,21,405,581
8133925596,9658546,Cornhub,20413194,.4leks...,Phantom Lancer,7,6,6,26200,413,19,585,771
8133925596,9658549,Nebraska Cornhuskers,452702024,CGarty,Riki,24,2,11,33347,333,17,695,1242
8133925596,9658549,Nebraska Cornhuskers,312108807,Maple Biggs,Wraith King,8,4,16,29810,385,5,588,978
8133925596,9658549,Nebraska Cornhuskers,63826936,Sarah,Razor,2,3,22,30178,430,9,619,942
8133925596,9658549,Nebraska Cornhuskers,208895278,businessCasual,Techies,8,4,13,26405,297,1,585,727
8133925596,9658549,Nebraska Cornhuskers,71794697,Z.T. Pastamancer,Nyx Assassin,11,7,19,19529,101,2,423,873
