steam_id,player_name,team_id,team_name
32846586,Dr Clayton,9239539,Eat A Frosted Donut
162920467,EsKetIt!!,9239539,Eat A Frosted Donut
12096575,Bojangles,9239539,Eat A Frosted Donut
208895278,businessCasual,9239539,Eat A Frosted Donut
176598507,Stainless,9239539,Eat A Frosted Donut
,,,
31649623,Moumpt,8970463,Pizzadog Academy
192347173,Ms Anthrope,8970463,Pizzadog Academy
104775701,Sparkling Animated Storytelling,8970463,Pizzadog Academy
83172949,Cloud Kicker,8970463,Pizzadog Academy
1036468280,The Real Is Back,8970463,Pizzadog Academy
